ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	201/4760	208/15504	0.966346153846154	3.14752747252747	20.7543821138357	1.08563305687374e-93	6.4291189628063e-90	5.50130266925284e-90	OR4N2/OR11A1/CNGB1/OR10C1/SLC24A4/OR2H1/OR52E5/OR11H1/OR6C4/OR7G3/OR4F17/OR10K1/OR7A5/OR7E24/OR14I1/OR6K2/OR1N2/OR5F1/OR13F1/OR11H12/OR2T4/OR8U1/OR2H2/OR5M11/OR51L1/OR6B2/OR8H3/OR8H2/OR12D3/OR52N1/OR2L3/OR1L1/OR2M7/OR9G1/OR1J2/OR6C75/OR10G3/OR56A3/OR4C13/OR2L2/OR5I1/OR1D2/OR9Q1/OR6C65/OR1L8/OR5D16/OR52A5/OR5V1/OR5A1/OR6M1/OR13A1/OR5M1/OR2AT4/OR5J2/OR14J1/OR6X1/OR52E2/OR2M4/OR8A1/OR2T3/OR2AK2/OR1S2/OR10H4/OR10H5/OR10S1/OR4K13/OR11H2/OR5B12/OR4A16/OR5AN1/OR10J1/OR8B12/OR6Y1/OR10A7/OR5AS1/OR9G4/OR4K14/OR6B1/OR51A4/OR52J3/OR2W1/OR1M1/OR10D3/OR2J3/OR4K5/OR10A4/OR9A4/OR4C5/OR10K2/OR51F2/OR5T2/OR10G2/OR4K2/OR52D1/OR6C74/OR51I1/OR2G6/OR2G3/OR1C1/OR8K1/OR8K5/OR52E6/OR4Q3/OR2AJ1/OR8G1/OR9K2/OR52K1/OR2L13/OR52W1/OR51V1/OR1J1/OR6K6/OR56A4/OR2C3/OR56A5/OR2L5/OR5P2/OR4K1/OR4F15/OR52N5/OR2B2/OR8D1/OR4B1/OR9I1/OR51M1/OR51B4/OR56B1/OR52A1/OR52B6/OR51B6/OR9Q2/OR2B6/OR2M3/OR2T1/OR2AG1/OR5T3/OR5B2/OR2M5/OR4K17/OR4P4/OR52E4/OR4D10/OR2J2/OR2A12/OR4K15/OR5AK2/OR1F1/OR13G1/OR6C70/OR2B11/OR10G6/OR51T1/OR2M2/OR6P1/OR51J1/OR1L3/OR6C68/OR1J4/OR4F6/OR51Q1/OR10W1/OR6N2/OR7D2/OR14A16/OR6C3/OR10Z1/OR6C76/OR4C15/OR5L2/OR5D14/OR5H1/OR2T6/OR5B21/OR10A2/OR10H3/OR1L4/OR2AE1/OR2T34/OR56B4/OR13D1/OR6T1/OR2D2/OR56A1/OR14K1/OR11G2/OR5H15/OR6A2/OR5AU1/OR51E2/OR10A5/OR5H6/OR1E2/OR51A2/OR6V1/OR52N4/OR52I1/OR2A7/OR2K2/OR9A2/OR52H1/OR1E1	201
GO:0007608	sensory perception of smell	213/4760	232/15504	0.918103448275862	2.99039408866995	20.3312208515731	8.75847183725175e-87	2.59338351101024e-83	2.21912018023842e-83	OR4N2/OR11A1/CNGB1/SYT10/OR10C1/SLC24A4/OR2H1/OR52E5/OR11H1/OR6C4/OR7G3/OR4F17/OR10K1/OR7A5/OR7E24/OR14I1/OR6K2/GFY/OR1N2/OR5F1/OR13F1/OR11H12/OR2T4/OR8U1/OR2H2/OR5M11/OR51L1/OR6B2/NXNL2/SLC6A3/OR8H3/OR8H2/OR12D3/OR52N1/OR2L3/UGT2A1/OR1L1/OR2M7/OR9G1/OR1J2/OR6C75/OR10G3/OR56A3/OR4C13/OR2L2/OR5I1/OR1D2/OR9Q1/OR6C65/OR1L8/OR5D16/OR52A5/OR5V1/OR5A1/OR6M1/OR13A1/OR5M1/OR2AT4/OR5J2/OR14J1/OR6X1/OR52E2/OR2M4/OR8A1/OR2T3/OR2AK2/OR1S2/OR10H4/OR10H5/OR10S1/CNGA2/OR4K13/OR11H2/OR5B12/OR4A16/OR5AN1/OR10J1/OR8B12/OR6Y1/OR10A7/OR5AS1/OR9G4/OR4K14/OR6B1/DRD2/OR51A4/OR52J3/OR2W1/OR1M1/OR10D3/OR2J3/OR4K5/OR10A4/OR9A4/OR4C5/OR10K2/OR51F2/OR5T2/OR10G2/OR4K2/OR52D1/OR6C74/OR51I1/OR2G6/OR2G3/OR1C1/OR8K1/OR8K5/OR52E6/OR4Q3/OR2AJ1/OR8G1/OR9K2/OR52K1/OR2L13/OR52W1/OR51V1/OR1J1/OR6K6/OR56A4/OR2C3/OR56A5/OR2L5/OR5P2/OR4K1/OR4F15/OR52N5/OR2B2/OR8D1/GJB4/OR4B1/OR9I1/OR51M1/OR51B4/OR56B1/OR52A1/OR52B6/OR51B6/OR9Q2/OR2B6/OR2M3/OR2T1/OR2AG1/OR5T3/OR5B2/OR2M5/OR4K17/OR4P4/OR52E4/OR4D10/OR2J2/OR2A12/OR4K15/OR5AK2/ANO9/OR1F1/OR13G1/OR6C70/OR2B11/OR10G6/OR51T1/OR2M2/OR6P1/OR51J1/OR1L3/OR6C68/OR1J4/OR4F6/OR51Q1/OR10W1/OR6N2/OR7D2/OR14A16/OR6C3/OR10Z1/OR6C76/OR4C15/OR5L2/OR5D14/BEST2/OR5H1/OR2T6/OR5B21/OR10A2/OR10H3/OR1L4/OR2AE1/OR2T34/OR56B4/OR13D1/OR6T1/OR2D2/OR56A1/OR14K1/OR11G2/OR5H15/OR6A2/OR5AU1/OR51E2/OR10A5/TTC8/OR5H6/OR1E2/OR51A2/OR6V1/OR52N4/OR52I1/OR2A7/OR2K2/OR9A2/OR52H1/OR1E1/B3GNT2	213
GO:0009593	detection of chemical stimulus	231/4760	278/15504	0.830935251798561	2.70647482014389	19.1098694303642	2.14131485304462e-74	2.11347775995504e-71	1.80847187764154e-71	CASR/OR4N2/OR11A1/CNGB1/SYT1/OR10C1/SLC24A4/OR2H1/OR52E5/RYR2/OR11H1/OR6C4/PKD2L1/OR7G3/OR4F17/OR10K1/OR7A5/RTP1/OR7E24/OR14I1/OR6K2/OR1N2/OR5F1/OR13F1/OR11H12/OR2T4/OR8U1/FFAR4/OR2H2/OR5M11/OR51L1/OR6B2/OR8H3/OR8H2/OR12D3/OR52N1/OR2L3/OR1L1/OR2M7/OR9G1/KCNK3/OR1J2/OR6C75/OR10G3/OR56A3/OR4C13/OR2L2/LPO/OR5I1/OR1D2/OR9Q1/DRGX/OR6C65/OR1L8/OR5D16/OR52A5/OR5V1/OR5A1/TAS2R16/OR6M1/OR13A1/OR5M1/OR2AT4/OR5J2/OR14J1/KCNMB1/OR6X1/OR52E2/OR2M4/OR8A1/OR2T3/OR2AK2/OR1S2/OR10H4/OR10H5/OR10S1/OR4K13/OR11H2/OR5B12/OR4A16/OR5AN1/OR10J1/OR8B12/OR6Y1/OR10A7/OR5AS1/OR9G4/OR4K14/OR6B1/OR51A4/OR52J3/OR2W1/OR1M1/OR10D3/OR2J3/OR4K5/OR10A4/OR9A4/OR4C5/OR10K2/OR51F2/OR5T2/OR10G2/OR4K2/OR52D1/OR6C74/OR51I1/OR2G6/OR2G3/OR1C1/OR8K1/OR8K5/OR52E6/OR4Q3/OR2AJ1/NOD2/OR8G1/OR9K2/OR52K1/OR2L13/OR52W1/PIGR/OR51V1/TAS2R9/OR1J1/OR6K6/OR56A4/REG3A/OR2C3/OR56A5/OR2L5/OR5P2/OR4K1/OR4F15/OR52N5/CA6/OR2B2/OR8D1/OR4B1/OR9I1/OR51M1/OR51B4/OR56B1/OR52A1/OR52B6/OR51B6/OR9Q2/RTP4/OR2B6/OR2M3/OR2T1/OR2AG1/OR5T3/OR5B2/OR2M5/OR4K17/OR4P4/OR52E4/OR4D10/OR2J2/OR2A12/OR4K15/OR5AK2/OR1F1/OR13G1/OR6C70/OR2B11/OR10G6/OR51T1/OR2M2/OR6P1/OR51J1/AZGP1/OR1L3/OR6C68/OR1J4/OR4F6/OR51Q1/OR10W1/OR6N2/OR7D2/OR14A16/OR6C3/OR10Z1/OR6C76/OR4C15/OR5L2/OR5D14/TAS2R39/OR5H1/OR2T6/OR5B21/OR10A2/OR10H3/OR1L4/OR2AE1/OR2T34/PKD1L3/TAS2R8/OR56B4/OR13D1/OR6T1/OR2D2/OR56A1/TREM2/OR14K1/OR11G2/KCNMB2/OR5H15/OR6A2/TAS2R7/OR5AU1/PLCB2/OR51E2/OR10A5/OR5H6/OR1E2/OR51A2/OR6V1/C4B/OR52N4/OR52I1/OR2A7/OR2K2/KCNMB4/OR9A2/TLR6/OR52H1/TAS2R40/LBP/OR1E1	231
GO:0051606	detection of stimulus	314/4760	432/15504	0.726851851851852	2.36746031746032	19.1866658942059	4.5722741800064e-74	3.86814395628541e-71	3.30991397030839e-71	ADGRV1/PIEZO2/CASR/ABCA4/RP1/OR4N2/ANO3/KCNA1/OR11A1/CNGB1/SYT1/ASIC2/CACNB4/CRTAM/OR10C1/SLC24A4/TMC2/OR2H1/SAG/ATP8A2/OPN5/OR52E5/RPE65/SCN11A/RYR2/OR11H1/OR6C4/PKD2L1/CHRNA9/OR7G3/OR4F17/RGR/OR10K1/OR7A5/RTP1/NOX3/OR7E24/PPEF2/OR14I1/OR6K2/OR1N2/OR5F1/OR13F1/OR11H12/OR2T4/OR8U1/PGLYRP4/FFAR4/OR2H2/CDHR2/CACNA1F/OR5M11/OR51L1/OR6B2/OR8H3/OR8H2/PGLYRP3/GJA10/OR12D3/RCVRN/TAC1/OR52N1/CLEC6A/OR2L3/OR1L1/OR2M7/OR9G1/KCNK3/OR1J2/SCN1A/OR6C75/OR10G3/OR56A3/OR4C13/OR2L2/LPO/NPFFR2/OR5I1/OR1D2/OR9Q1/DRGX/OR6C65/OR1L8/GRM6/OR5D16/GUCY2F/OR52A5/PGLYRP2/OR5V1/OR5A1/TAS2R16/OR6M1/OR13A1/OR5M1/STRC/OR2AT4/OR5J2/CDS1/OR14J1/KCNMB1/OR6X1/OR52E2/OR2M4/TULP1/OR8A1/OR2T3/OR2AK2/PHF24/OR1S2/OR10H4/OR10H5/RHO/GPR88/OR10S1/OR4K13/OR11H2/OR5B12/OR4A16/COL11A1/OR5AN1/OR10J1/OR8B12/OR6Y1/OR10A7/OR5AS1/OR9G4/OR4K14/OR6B1/GNGT1/OR51A4/OR52J3/OR2W1/OR1M1/OR10D3/OR2J3/OR4K5/NTRK1/OR10A4/OR9A4/OR4C5/TRPC3/KCNK2/OR10K2/OR51F2/OTOP1/OR5T2/OR10G2/OR4K2/CRB1/OR52D1/CACNA2D4/WHRN/OR6C74/OR51I1/GNGT2/OR2G6/OR2G3/OR1C1/OR8K1/OR8K5/OR52E6/OR4Q3/OR2AJ1/NOD2/OR8G1/OR9K2/OR52K1/OR2L13/OR52W1/PIGR/OR51V1/TAS2R9/OR1J1/OR6K6/OR56A4/REG3A/TMC1/OR2C3/OR56A5/PTPRJ/OR2L5/GRK7/OR5P2/OR4K1/OR4F15/OR52N5/CALCA/CA6/OR2B2/OR8D1/OR4B1/OR9I1/OR51M1/OR51B4/OR56B1/OR52A1/OR52B6/OR51B6/OR9Q2/RTP4/OR2B6/PPEF1/OR2M3/OR2T1/OR2AG1/CD1D/NLRP3/OR5T3/OR5B2/OR2M5/OR4K17/OR4P4/OR52E4/OR4D10/OR2J2/ADORA1/OR2A12/OR4K15/OR5AK2/PDE6B/OR1F1/TNF/OR13G1/OR6C70/SCN9A/CDH2/OR2B11/OR10G6/OR51T1/OR2M2/OR6P1/OR51J1/AZGP1/OR1L3/OR6C68/OR1J4/AIPL1/OR4F6/OR51Q1/OR10W1/OR6N2/OR7D2/OR14A16/OR6C3/OR10Z1/OR6C76/OR4C15/OR5L2/OR5D14/TAS2R39/OR5H1/OR2T6/OR5B21/OR10A2/OR10H3/OR1L4/ELOVL4/OR2AE1/OR2T34/PKD1L3/TAS2R8/OR56B4/KCNQ1/NTSR1/OR13D1/PDZD7/OR6T1/OR2D2/OR56A1/TREM2/OR14K1/NGFR/OR11G2/KCNMB2/OR5H15/OR6A2/TAS2R7/CABP4/PITPNM1/OR5AU1/PLCB2/GNAT3/OR51E2/OR10A5/REEP6/OR5H6/OR1E2/UNC119/OPN3/NR2E3/OR51A2/OR6V1/TIMELESS/HTR2A/C4B/OR52N4/ROM1/OR52I1/OR2A7/OR2K2/KCNMB4/TACR1/OR9A2/TLR6/OR52H1/TAS2R40/LBP/OPN4/FYN/KIT/SERPINE2/PLEKHB1/OR1E1/SRPX	314
GO:0006959	humoral immune response	145/4760	227/15504	0.638766519823789	2.08055380742605	10.9161284478746	3.5540657844845e-25	2.63089719696465e-22	2.25122009033005e-22	HRG/MUC7/POU2AF1/CR1/CR1L/EXO1/KRT6A/POU2F2/FGB/C8A/IL36RN/KLK3/REG1B/CFHR5/REG1A/CXCL6/CR2/KRT1/MMP7/FGA/REG3G/ZP4/KNG1/TF/CD5L/HTN3/WFDC2/DMBT1/FCGR2B/ACOD1/SPRR2A/IL17F/SEMG1/HTN1/PRSS2/IFNA16/PGLYRP4/NTS/BPI/C8B/PGLYRP3/MBL2/TAC1/CCR6/C7/SEMG2/C5/CFHR4/PRSS3/KLK7/LTA/WFDC13/CCL15/FCER2/IFNE/CCL20/BPIFA1/PGC/WFDC10A/WFDC9/CXCL5/IFNA6/CCL22/EVPL/LTF/C4BPB/NOD2/COLEC11/REG3A/CD28/C2/C9/CCL16/CALCA/CFP/CCL28/DEFB126/C6/IFNA8/HPX/SLC11A1/DEFB127/WFDC11/CCR2/CFB/COLEC10/IFNA4/TNF/CCL4/TREM1/IL17A/AIRE/HAMP/FCN1/DEFB118/MS4A1/WFDC10B/CCL26/CCL13/BST1/CXCL11/F2/CXCL13/C4A/JCHAIN/IL1B/TREM2/RNASE3/CXCL8/FCN3/RNASE6/ALOX5/BLNK/CXCL10/C1QB/CFHR3/CXCL1/GATA6/LGALS4/SLPI/PTPN6/SUSD4/CFHR1/CCL3L1/C4BPA/GNLY/TSLP/CCL4L2/WFDC3/CTSG/CD83/FCMR/C4B/H2BC6/CCR7/C1QC/CCL27/H2BC7/GATA3/RNASE7/HLA-DQB1/CCL21/VSIG4/RARRES2/IL6	145
GO:0031424	keratinization	49/4760	53/15504	0.924528301886792	3.01132075471698	9.76268605558624	4.43195726340742e-21	2.91622787932208e-18	2.49537336444951e-18	KRT6C/KRT5/KRT6A/CASP14/ABCA12/KRT1/LIPM/KRT77/IL1A/CERS3/LIPN/KRT7/IVL/KRT78/CDSN/LIPK/KRT74/KRT76/KRT73/KRT85/KRT3/SPRR2E/CDH3/KRT83/KRT2/KRT4/TCHH/KRT17/KRT82/KRT79/SPRR3/KRT75/EVPL/SPRR2D/TGM3/LCE1C/LCE6A/SPRR2B/TGM1/KRT16/KAZN/HRNR/KRT80/KRT71/KRT72/SPRR4/KRT86/KRTAP6-3/CYP26B1	49
GO:0042742	defense response to bacterium	148/4760	261/15504	0.567049808429119	1.84696223316913	9.18496327288707	1.63439217697544e-18	9.67887047204857e-16	8.28206730522082e-16	STAB2/DAO/EPPIN/KRT6A/FGB/FPR2/KLK3/CXCL6/RNASE9/MMP7/LYPD8/FGA/DEFB119/REG3G/DEFB132/NR1H4/UMOD/TF/IRGM/HTN3/WFDC2/DMBT1/SPRR2A/IL17F/SEMG1/IL23R/HTN1/LALBA/PGLYRP4/BPI/AICDA/IL12B/DEFB125/PGLYRP3/MBL2/RNASE11/SCNN1B/TAC1/DEFB128/IL12A/CRP/TNFSF8/SEMG2/LPO/DEFB121/KLK7/STATH/PGLYRP2/LTA/WFDC13/IFNE/CCL20/BPIFA1/OAS1/ZG16/PGC/WFDC10A/WFDC9/IL22RA1/FCGR1A/LYZL6/PLAC8/F2RL1/ADGRB1/BPIFA2/GBP6/DEFB110/EVPL/LTF/NLRP10/CLEC4E/NOD2/P2RX7/CLEC4D/S100A14/GSDMA/DEFB116/NOS2/CALCA/CFP/DEFB126/SLC11A1/NLRP1/DEFB127/WFDC11/MR1/SLC15A2/SPN/DEFB129/TNF/TREM1/IL17A/IRF8/HAMP/DEFB118/CD4/DEFB108B/WFDC10B/F2/CXCL13/GBP5/SYK/IL23A/ACP5/EMILIN1/JCHAIN/HAVCR2/IL1B/TREM2/CARD9/RNASE3/RNASE6/RASGRP4/EMILIN2/MPO/RNASE13/LGALS4/SLPI/PRG2/NAGK/FGR/GNLY/PRB3/TSLP/GSDMB/WFDC3/HP/TLR3/SLAMF8/CTSG/OAS2/PRKCD/H2BC6/OAS3/PLA2G2A/TLR6/IL27RA/LBP/H2BC7/SELP/CD160/SFTPD/RNASE7/RAG2/MPEG1/EPX/RARRES2/IL6	148
GO:0060078	regulation of postsynaptic membrane potential	95/4760	144/15504	0.659722222222222	2.14880952380952	9.21853726314085	2.30088909336908e-18	1.23871501917561e-15	1.05995024837117e-15	GRM1/GABRG3/GRM5/CHRNA7/GRIN2B/GRIN2A/KCNK1/GABRA4/NETO1/KCNA1/HTR3B/GRIA1/GABRA2/GRIK3/GABRB1/GABRA1/GABRG2/GRID2/CHRNB4/NRXN1/RELN/SHANK1/RIMS2/GABRA6/KCTD16/NLGN1/GRID1/CHRNA9/GLRA2/GRIK4/GLRA3/GRIA2/GABRG1/CHRNA4/GABRA5/WNT7A/CHRNA2/NPAS4/HTR3A/HTR3D/CHRNB3/GABRA3/CHRNA6/HTR3C/DRD2/CUX2/SLC8A2/GRIK5/P2RX7/GRIN2C/GRIN1/STX1B/GRIN2D/P2RX4/ADORA1/PRKCZ/CHRFAM7A/GABRB2/BAIAP2/BEGAIN/MAPK8IP2/GRIA3/KCND2/CELF4/HTR3E/CHRNB2/KCNA2/SEZ6/NLGN3/ADORA2A/SNCA/MPP2/GABRD/NTSR1/RIMS1/STX1A/ABAT/PRKAR1B/GABBR1/P2RX1/RGS4/GLRA1/CHRNA3/P2RX3/RGS7BP/CDK5/SLC1A7/INSYN1/PTK2B/NLGN4X/CHRNA5/ADRB1/CBLN1/GRIN3A/GABRR2	95
GO:0045109	intermediate filament organization	54/4760	65/15504	0.830769230769231	2.70593406593407	9.17355536745427	2.95880063482157e-18	1.46016811328444e-15	1.24944440842377e-15	KRT6C/KRT5/KRT6A/KRT9/KRT34/KRT40/KRT1/KRT26/KRT77/KRT7/BFSP2/KRT25/KRT78/KRT23/KRT74/KRT76/KRT73/KRT85/KRT28/BFSP1/KRT3/DSP/KRT83/KRT2/NEFL/INA/GFAP/KRT27/KRT4/KRT39/TCHH/KRT15/KRT17/KRT82/KRT20/KRT32/KRT79/KRT75/SHH/KRT24/KRT16/KRT13/PRPH/KRT35/KRT80/KRT71/KRT72/KRT86/NEFH/EPPK1/PKP1/NEFM/KRT12/KRT31	54
GO:0001906	cell killing	122/4760	209/15504	0.583732057416268	1.9012987012987	8.73163348597099	7.93643311499036e-17	3.35711120764092e-14	2.87263075304989e-14	DAO/HRG/MUC7/CR1/CD1A/CR1L/KRT6A/IL12RB1/CRTAM/C8A/CFHR5/CXCL6/CLEC12B/CD1B/NCKAP1L/DEFB132/KNG1/KIR3DL1/CD5L/HTN3/SLAMF6/FCGR2B/SEMG1/IL23R/HTN1/NECTIN4/PGLYRP4/NTS/IL12B/STXBP2/CLEC2A/KIR2DL4/C8B/PGLYRP3/ULBP1/MBL2/SCNN1B/TAC1/DEFB128/IL12A/C7/C5/SLAMF7/KLRF2/IL13/LILRB1/CCL20/CD1C/CD1E/RIPK3/IL18RAP/FCGR1A/LYZL6/F2RL1/VAV1/FCGR3A/CCL22/LTF/P2RX7/KLRC4/C9/NOS2/CCL28/LAG3/C6/SERPINB4/GZMH/MR1/CD1D/PIK3R6/TREM1/AZGP1/HAMP/HLA-G/DEFB118/DNASE1L3/KLRC3/NCR1/LEP/CCL13/CXCL11/F2/CXCL13/GBP5/IL23A/ITGAM/HAVCR2/KLRB1/INPP5D/STAP1/RAET1E/CXCL8/MICB/CXCL10/CXCL1/UNC13D/GZMA/GZMB/PTPN6/CFHR1/SLC22A13/GNLY/PRF1/GSDMB/CTSG/HLA-F/SERPINB9/RAB27A/CORO1A/PLA2G2A/CCL27/NKG7/AGER/CD160/TYROBP/RNASE7/FCGR2A/FCGR3B/GFER/CCL21/CTSH/CEACAM1	122
GO:0002250	adaptive immune response	214/4760	433/15504	0.494226327944573	1.60976575387661	8.56572826328256	1.2565020881256e-16	4.96067024391985e-14	4.24477266823622e-14	CR1/CD1A/CR1L/EXO1/IL12RB1/FGB/C8A/ADGRE1/FCRL4/FCAMR/LAMP3/CRACR2A/CR2/CD1B/MCOLN2/LY9/FGA/TNFRSF11A/NCKAP1L/IL1RL1/SLAMF6/FCGR2B/IL17F/IL23R/ZNF683/IFNA16/AICDA/IL12B/C8B/RAG1/ULBP1/MBL2/CLEC6A/CCR6/IL12A/BTLA/CLEC4M/C7/C5/RAP1GAP/TNFRSF13B/SLAMF7/CLEC4C/TNFSF18/SKAP1/KLHL6/PSG9/LILRB1/LTA/FGL1/EOMES/FCER2/IFNE/CTLA4/CD1C/IL9/IL13RA2/ALOX15/CD1E/LAIR1/EPHB2/LILRB4/PIK3CG/FCRLB/RIPK3/IL18RAP/CD244/FCGR1A/SLAMF1/IFNA6/FCGR3A/BTK/NLRP10/C4BPB/NOD2/P2RX7/CD80/CLEC4D/CD6/CD19/IL18R1/IRF4/CD28/C2/C9/JAK3/LAG3/C6/IFNA8/LILRB2/HPX/SLC11A1/CAMK4/BTNL8/HLA-DQB2/MR1/CD86/CD1D/IL2/NLRP3/CCR2/SPN/PRKCZ/PRKCB/WAS/VTCN1/RAP1GAP2/IFNA4/TNF/TREM1/IL17A/IL4R/CD79A/AIRE/AZGP1/HLA-G/CD4/LILRA1/HLA-DQA1/ITK/CLC/SEMA4A/NFKBID/CLEC4A/CXCL13/CD209/SYK/LILRB5/IL23A/SASH3/C4A/FOXP3/LAX1/JCHAIN/HAVCR2/CLEC10A/KMT5C/LEF1/IL1B/INPP5D/IL2RB/TLR8/RAET1E/MYO1G/TREM2/CARD9/SIGLEC10/LILRA6/HLA-DOA/CSF2RB/CD8B/MICB/CD3E/TMEM98/C1QB/UNC13D/NFKB2/PTPN6/SUSD4/TBX21/ZC3H12A/HLA-DOB/CD8A/SOCS3/C17orf99/TNFSF4/SLC22A13/C4BPA/HLA-DMB/PRF1/IGLL5/LYN/CD3G/HLA-F/LAT2/PTK2B/TAP1/LOXL3/FCMR/C4B/PRKCD/CD3D/RAB27A/ZAP70/CD40/PRDM1/FCER1A/C1QC/CD247/PIK3CD/IL27RA/AGER/FYN/CD160/HLA-DPB1/HLA-DPA1/GATA3/CD40LG/FCGR2A/MPEG1/HLA-DQB1/TNFRSF13C/BMX/CTNNBL1/BTN3A2/LILRB3/HLA-DQA1/BTN3A3/CD27/FCGR3B/CTSH/HLX/CEACAM1/IL6	214
GO:0007218	neuropeptide signaling pathway	58/4760	76/15504	0.763157894736842	2.48571428571429	8.64202722973834	2.9536087913292e-16	1.02889830954421e-13	8.80413171607355e-14	SORCS3/OPRM1/NPFFR1/PRLHR/GALR1/CCKBR/QRFPR/MC2R/GLRA2/CARTPT/GPR139/NTS/SCG5/OPRK1/TAC1/NPVF/PENK/PNOC/PDYN/CYSLTR2/NPFFR2/NMU/HCRTR2/GPR84/GPR149/SSTR2/GPR83/TYRO3/PYY/MCHR1/ADCYAP1/MCHR2/TAC3/PROKR1/CALCA/NMBR/BRS3/OPRD1/NMUR1/NPY5R/PCSK1N/SSTR3/NTSR1/GPR143/LTB4R2/NMUR2/GPR37/SORCS2/GLRA1/SORCS1/NPSR1/GPR171/OPRL1/CMKLR2/PROK2/GRPR/SSTR1/SORL1	58
GO:0003341	cilium movement	126/4760	230/15504	0.547826086956522	1.78434782608696	7.97672412268367	2.03254147041578e-14	6.68706143766793e-12	5.72202025648046e-12	DNAH9/CFAP221/HYDIN/DNAH2/DNAH8/EPPIN/ODAD2/CFAP52/DRC7/DNAH14/DNAH5/DNAH7/CFAP47/DNAH6/TTC29/CFAP54/CFAP65/ARMC3/CFAP43/CFAP57/ADCY10/CFAP251/SPA17/ODAD1/ROPN1/CATSPERD/CLXN/DDX4/SLC22A16/PRDM14/TTLL6/DNAAF6/PRSS55/SEMG1/ENKUR/TEKT1/TTC21A/AKAP4/CFAP45/CAMSAP3/DNAH10/DNAI2/SPAG6/DNAI1/CWH43/TEKT3/HOATZ/TAC1/CCR6/DAW1/NME8/CCDC38/ADAM7/TTLL9/SEMG2/GK2/DRC1/PGK2/CFAP97D1/RIBC2/TEX101/ODAD3/TMEM232/DNAI3/SPEM3/CELF3/TCTE1/ATP1A4/DNAAF1/RSPH6A/TAC3/CABS1/SPMIP8/DNAH3/TACR3/CFAP107/NPHP4/GARIN2/JHY/TBC1D21/DNAH17/IQCF1/SLC9B1/PLA2G3/EFHC2/CFAP77/EFHB/EFHC1/CFAP206/PDCL2/CHRFAM7A/KLC3/CATSPER4/SLC22A14/CCDC40/TTLL8/SPMIP11/ZMYND10/ROPN1L/CFAP141/SAXO4/CFAP161/APOB/CCDC65/VANGL1/AKAP3/ARMC12/CFAP95/CCDC63/ZMYND12/CCDC88C/CFAP157/ARMC2/DNALI1/STK36/KIF9/TACR1/SEPTIN4/PACRG/LRRC23/LDHC/ODAD4/DNAAF4/SPAG8/TSSK4/DPCD	126
GO:0060294	cilium movement involved in cell motility	106/4760	189/15504	0.560846560846561	1.82675736961451	7.61165028272118	3.15076779627522e-13	9.32942344477092e-11	7.98305061645732e-11	DNAH9/CFAP221/DNAH2/DNAH8/EPPIN/CFAP52/DRC7/DNAH14/DNAH5/DNAH7/CFAP47/DNAH6/CFAP54/CFAP65/ARMC3/CFAP43/CFAP57/CFAP251/ROPN1/CATSPERD/CLXN/DDX4/SLC22A16/PRDM14/TTLL6/DNAAF6/PRSS55/SEMG1/ENKUR/TEKT1/TTC21A/AKAP4/CFAP45/DNAH10/SPAG6/DNAI1/TEKT3/HOATZ/TAC1/CCR6/NME8/CCDC38/ADAM7/TTLL9/SEMG2/GK2/DRC1/PGK2/CFAP97D1/RIBC2/TEX101/ODAD3/TMEM232/DNAI3/SPEM3/CELF3/TCTE1/ATP1A4/RSPH6A/TAC3/CABS1/SPMIP8/DNAH3/TACR3/CFAP107/NPHP4/GARIN2/TBC1D21/DNAH17/IQCF1/SLC9B1/PLA2G3/EFHC2/CFAP77/EFHB/EFHC1/CFAP206/PDCL2/CHRFAM7A/KLC3/CATSPER4/SLC22A14/CCDC40/TTLL8/SPMIP11/ROPN1L/CFAP141/SAXO4/CFAP161/APOB/AKAP3/ARMC12/CFAP95/ZMYND12/CFAP157/ARMC2/DNALI1/KIF9/TACR1/SEPTIN4/PACRG/LRRC23/LDHC/SPAG8/TSSK4/DPCD	106
