"gene","module","MM_MEdarkred","MM_MEsalmon","MM_MEgrey60","MM_MEtan","MM_MEviolet","MM_MEbrown","MM_MEred","MM_MEorange","MM_MEblue","MM_MEyellow","MM_MElightgreen","MM_MEpurple","MM_MEdarkgreen","MM_MElightyellow","MM_MElightcyan","MM_MEblack","MM_MEpink","MM_MEgreenyellow","MM_MEmidnightblue","MM_MEdarkorange","MM_MEdarkturquoise","MM_MEsteelblue","MM_MEdarkgrey","MM_MEturquoise","MM_MEsaddlebrown","MM_MEcyan","MM_MEgreen","MM_MEmagenta","MM_MEpaleturquoise","MM_MEwhite","MM_MEroyalblue","MM_MEskyblue","MM_MEgrey","p.MM_MEdarkred","p.MM_MEsalmon","p.MM_MEgrey60","p.MM_MEtan","p.MM_MEviolet","p.MM_MEbrown","p.MM_MEred","p.MM_MEorange","p.MM_MEblue","p.MM_MEyellow","p.MM_MElightgreen","p.MM_MEpurple","p.MM_MEdarkgreen","p.MM_MElightyellow","p.MM_MElightcyan","p.MM_MEblack","p.MM_MEpink","p.MM_MEgreenyellow","p.MM_MEmidnightblue","p.MM_MEdarkorange","p.MM_MEdarkturquoise","p.MM_MEsteelblue","p.MM_MEdarkgrey","p.MM_MEturquoise","p.MM_MEsaddlebrown","p.MM_MEcyan","p.MM_MEgreen","p.MM_MEmagenta","p.MM_MEpaleturquoise","p.MM_MEwhite","p.MM_MEroyalblue","p.MM_MEskyblue","p.MM_MEgrey","GS_AGE","p.GS_AGE","target_module"
"ENSG00000120057.5","darkgreen",-0.0523672745019373,0.0462519934701001,-0.05321197277809,-0.171453352427244,-0.102581051076311,-0.130541467927489,-0.143671863718101,0.0176243318829487,0.107889389624338,-0.0192650381139269,0.0504425000164384,0.0222585127228009,0.897182900363627,0.149093357744105,0.0515693384311553,-0.0248714061463738,0.104133205409914,0.111663367556312,0.10093514256267,0.116409123403119,0.109177277422963,0.0502620435751074,0.0502442271559068,0.265617062407259,0.111753811723391,0.129318555411806,0.236593716988541,-0.0150987465352034,0.107905101026062,0.0695992797346764,0.123372481395622,0.0533938696728216,0.17689113723841,0.134529339261808,0.186326785326834,0.128347745073625,8.10766732842309e-07,0.00331238737384461,0.000181186096174632,3.71950127641209e-05,0.614727713598393,0.00200145022528692,0.58218079904474,0.149471063791171,0.524962660463395,7.65894427432028e-292,1.85549389884316e-05,0.140577382346376,0.477479855682419,0.00286523356539628,0.00138012659623516,0.00385506467766465,0.000851040281909049,0.00176525671793362,0.150934294045172,0.151079347338781,1.1239095036269e-14,0.00136769782264409,0.000208467743533989,7.18443494865251e-12,0.666323731688487,0.00199840224067898,0.0465956057146601,0.000405216789810355,0.127045902227425,3.54908842319862e-07,0.0392972651271139,0.261588628655059,"darkgreen"
"ENSG00000100146.19","darkgreen",-0.0850999239706778,0.0761461426295629,-0.167187769942953,-0.284746937019094,-0.125207625394896,-0.208049462027558,-0.26459867538203,0.049623993193943,0.17672107626491,-0.0459546783485914,0.0921055655522744,0.0470258800454531,0.889023210723386,0.238601487590054,0.176127357570594,0.00526227916360951,0.205005155949746,0.223006870148638,0.209109170080607,0.155757366028112,0.188169239444822,0.0626759135694242,0.0737773516496388,0.37319343189294,0.106891223771368,0.149518198511404,0.261399291989233,0.026486638276504,0.145680235053443,0.0444683808265574,0.227356495844769,0.0940034602784371,0.270265436066064,0.0149077214282956,0.0294309914990977,1.52252433369408e-06,1.00652850080319e-16,0.000331078166517721,1.8885749017672e-09,1.42973689077531e-14,0.156195368727745,3.64339425798459e-07,0.189176282701169,0.00839243468660782,0.179058441778124,4.53360571574452e-279,4.71733389987501e-12,3.99193169908534e-07,0.880547061695835,3.27304345386717e-09,1.12003098981305e-10,1.55648251289429e-09,7.63048616958494e-06,5.89201168784814e-08,0.0731977954221278,0.0348813724916587,1.9761999858936e-28,0.00220405206492924,1.75525907221089e-05,3.02493859353954e-14,0.449343072095533,2.88298865020657e-05,0.20390286822631,4.73760990460938e-11,0.00713636557722866,3.69752287904044e-15,0.0812405584003521,0.0201348337620289,"darkgreen"
"ENSG00000158887.19","darkgreen",-0.0752947921651009,0.060866133126264,-0.180278191058898,-0.214000999454237,-0.0984225304680201,-0.208888795226598,-0.218536775574433,0.0414020647091161,0.175197950948929,0.00693138511785255,0.0507036323887761,-0.000509729009785453,0.882290337477363,0.133390395855344,0.180180016058424,-0.0335671893561919,0.169093328074653,0.118821048442226,0.188614393057258,0.0912924424964294,0.147289734333325,0.0209554173589938,0.0766303826196074,0.32946519364258,0.0735292094614576,0.104366707196475,0.189526135223798,0.00952351198397938,0.0730715705775981,0.0382645025449384,0.14915301165229,0.0346862459615306,0.190722478386717,0.0312992052111936,0.0819002623323256,2.0941004950547e-07,6.29006364745821e-10,0.00484003315469486,1.62049326808779e-09,2.66244395965585e-10,0.236878737490568,4.60284178119515e-07,0.843090686930235,0.147372835724136,0.98838615227416,2.90857457083921e-269,0.000130064696742123,2.12666877674222e-07,0.337635723167729,1.15119784417975e-06,0.000661062701552451,5.47627356507768e-08,0.00898847672873831,2.34488060657418e-05,0.549513827724728,0.0284117119859524,3.6643910176088e-22,0.0354992017812346,0.00280294334985221,4.71151110122333e-08,0.785646048010395,0.0366630982323733,0.2743418466021,1.84109810064311e-05,0.321767613827878,3.86330263437443e-08,0.011844724962632,0.735166328297706,"darkgreen"
"ENSG00000184454.7","darkgreen",-0.0522035552997052,0.0301125431919406,-0.0684219291219354,-0.142699603175283,-0.0726993216025486,-0.10168336827096,-0.130996865250864,-0.003963717703651,0.0750052962431336,-0.0441422166496424,0.053631319729794,0.0185251062322286,0.867007338306397,0.148104684253881,0.0660167705031245,-0.0103512621850018,0.0966309908879581,0.0838073444156394,0.0960666487794133,0.103700841849132,0.0885078544986199,0.0123911256820784,0.0381357793559275,0.222817816833268,0.0746077198376966,0.0842867202686097,0.200813775138617,0.0338842171538186,0.0781412879739507,0.0471587272440055,0.115480809873937,0.0341091453073304,0.139710725403782,0.135753606196912,0.389724086014792,0.0504397824499897,4.20264970053958e-05,0.0376336100162146,0.00359908430502462,0.000171911834678974,0.909878190792446,0.031957202977694,0.207243124476902,0.125361925981925,0.596759541945761,4.53977956151518e-249,2.11024324101594e-05,0.0591203043805995,0.767529055609537,0.00567550045638097,0.0165072834895252,0.00596437034353558,0.00298391386741575,0.0113256540636582,0.723438928866714,0.275960621674729,1.16224458844702e-10,0.0328801222065377,0.0158973068581468,6.88319677523409e-09,0.333090173240727,0.0254241811066466,0.177832199911236,0.000936776107855788,0.329889174393074,6.08748858201879e-05,-0.0202991878343215,0.562088010538659,"darkgreen"
"ENSG00000249743.7","darkgreen",-0.0728388169593861,0.072075425917636,-0.181148239759323,-0.239851243653529,-0.111031788677158,-0.239165269729433,-0.237101704009302,0.0154345446756649,0.212533647633784,-0.00690746920540247,0.100817673772658,0.0916613495382652,0.863523113123607,0.165251441736183,0.129634171241758,-0.0642749972634388,0.120636869710873,0.196137580906498,0.170235154434587,0.125671481803089,0.194345327695659,0.135587390036437,0.096564265312052,0.360110286877959,0.11645674814389,0.124885457257332,0.209402672119954,-0.00450502496875741,0.104598094073056,0.0330554186052937,0.133215123483208,0.0353800958247665,0.29119844410646,0.037267397376662,0.0393091265591588,1.82574395724878e-07,3.62353639039738e-12,0.00146985743494637,4.18885598763159e-12,6.46139306370784e-12,0.659365046530264,8.27341471357728e-10,0.843625098600094,0.00389671947239921,0.00871353301894524,8.13232286787847e-245,2.01628293184635e-06,0.000201079863489062,0.0661510255039859,0.000544892998022744,1.54833007782645e-08,9.72180727821199e-07,0.000314457030937149,2.10159142605971e-08,0.000100268644502034,0.00570898589722645,1.88438161937599e-26,0.000846844105777826,0.00034310130044886,1.47503855090482e-09,0.897634216515334,0.00274243744344164,0.345057026018768,0.00013276995908077,0.312177023294636,1.88548768793264e-17,0.058692258788129,0.0934410462389516,"darkgreen"
"ENSG00000102385.13","darkgreen",-0.0775602205617887,0.0795213732912107,-0.168903524641339,-0.25349152095862,-0.139293323380524,-0.224903240287068,-0.254996727007437,0.0379922157208392,0.201771343516725,-0.0229514975322106,0.0990252361350401,0.0541082220375421,0.860891398382884,0.216234184263093,0.122007806278285,-0.034391396948057,0.157260035074575,0.195537813377957,0.217188035487124,0.131689737711899,0.158997023742327,0.104327736185928,0.115083423132103,0.357659421223909,0.127737471520403,0.129011422185219,0.246835456731746,0.00992655634632286,0.0476515521248316,0.0229801698904141,0.143178615351362,0.0237239576751414,0.274702564071204,0.0265393879538265,0.0229364375663905,1.18387077895454e-06,1.84625126668097e-13,6.40699712936719e-05,7.71363072573116e-11,1.31467275848648e-13,0.27777368134256,5.81622491940754e-09,0.512138535479224,0.00458500319474296,0.122032284051328,1.1102831833942e-241,4.1290802431668e-10,0.000470088726990539,0.325900620197763,6.21277596671183e-06,1.71555452440802e-08,3.44481669509813e-10,0.000158652188147044,4.88724130812823e-06,0.00281325289035011,0.000975863210412073,4.32387536178762e-26,0.000249464605262295,0.000215900740170565,8.07087283852122e-13,0.776809455387568,0.173337692679002,0.511611471195026,3.95762736671367e-05,0.49803831337013,1.25378125410657e-15,0.0419701996542037,0.23050079934482,"darkgreen"
"ENSG00000163347.6","darkgreen",-0.0911414112741105,0.034006374022028,-0.143608110539941,-0.20270158007821,-0.172597177251268,-0.270735021779168,-0.28587972839587,0.117115490755671,0.245101204464712,0.0534718679247098,0.0289354107004269,0.0182337181900004,0.85788371886388,0.171988340853261,0.122513111973887,-0.115281061520288,0.100232021869923,0.138624752789359,0.159677229704435,0.124315139540111,0.200332856074313,0.0460466389591613,0.138388823302405,0.366399522721223,0.110020340770586,0.112953515874788,0.214154453173902,0.0395224395078179,0.0884501298489229,0.0850124676412483,0.396630124381468,0.17245361065438,0.240068052161193,0.00910325229143592,0.331349258757408,3.74949702379984e-05,4.93442081318441e-09,6.8289185944068e-07,3.30074223907323e-15,7.52424805452508e-17,0.000790733795162629,1.17699397351673e-12,0.126490817883623,0.40853156621281,0.602545876214111,3.55293682404289e-238,7.4832706816234e-07,0.000445016398979597,0.000956238781376571,0.00411054583755754,6.95198956030564e-05,4.44577310596237e-06,0.000365390474573413,7.48845879159525e-09,0.188291518797014,7.15454914391285e-05,2.16307971910801e-27,0.00162479629966235,0.00121229839960618,6.11163629100631e-10,0.258863237893484,0.0113793342868284,0.0150114817087814,3.28177612242298e-32,6.97806895449035e-07,3.46092364823684e-12,0.0812637378893361,0.0200991929821194,"darkgreen"
"ENSG00000181409.14","darkgreen",-0.0675792143064651,0.0871653195298296,-0.0145239336094332,-0.269888285514756,-0.127210145573325,-0.187988278575134,-0.258811499508432,0.0824734726163417,0.154344577942822,-0.0544110608584532,0.0819943968701562,0.0567127611278164,0.84243856759114,0.289607300435289,0.10091652372243,0.0105582399241848,0.212089698880052,0.228868503575222,0.237965849174137,0.158435491144749,0.195850830442814,0.101373742555525,0.174771502060022,0.38935945659802,0.146846341019707,0.232886568736283,0.360137596181589,0.0217674399034854,0.110519814843116,0.090944276982744,0.188635565689199,0.082786323384692,0.294868764666941,0.0533513321841479,0.0126339258304646,0.678301997911044,4.0498231471169e-15,0.000264738549346082,6.06960188575882e-08,5.50475794705218e-14,0.0183137853389938,9.2410843413354e-06,0.119954006075625,0.0190035499684652,0.105050049142923,2.29152641028519e-221,2.86135366483589e-17,0.00386163993158493,0.763018249731042,8.98521448102791e-10,3.49835205254876e-11,5.39158720370172e-12,5.28297058677805e-06,1.62620816687931e-08,0.0037030800490032,4.91239167292829e-07,5.26737239838834e-31,2.4827422661339e-05,1.54650488516137e-11,1.86694657057924e-26,0.534148594354825,0.00154650038261249,0.00925502770602291,5.45722391715612e-08,0.0178752470675232,7.13139938023951e-18,0.0496944067622748,0.155608043158263,"darkgreen"
"ENSG00000145934.16","darkgreen",-0.157385530582102,-0.00075586331958761,-0.217135798640774,-0.242363454774362,-0.185727855075808,-0.434409471579363,-0.357617043969449,0.148503770353708,0.401703415477301,0.16845126206545,0.0332326288847219,0.095855384705317,0.816683094237923,0.25767768253715,0.212344696268384,-0.240858747119831,0.0940274198415396,0.147230437444734,0.162237795065414,0.176516433461424,0.273380282349578,0.16092499505797,0.291342132096998,0.494913567156581,0.160923282211042,0.118509078468501,0.182687170883378,0.0404346816141281,0.0810921652462298,0.0716831865237658,0.230349558919406,0.10316979628516,0.331422672756205,6.10650925902845e-06,0.982778868056698,3.47924319812032e-10,2.12264427198432e-12,8.77396936654199e-08,5.61462038595753e-39,4.3861386872358e-26,2.00364933083445e-05,4.53923689571269e-33,1.26535182151537e-06,0.342475591802547,0.0060758675139893,5.08363478380648e-197,7.14100710952807e-14,8.56939149909025e-10,2.92619761123198e-12,0.00712164788074765,2.36288690949755e-05,3.10195290549928e-06,3.76007966921249e-07,1.734184363958e-15,3.73318264410963e-06,1.81555164584894e-17,9.25507373173075e-52,3.73408138325013e-06,0.0006831983461446,1.43017718064369e-07,0.248023210151925,0.0203643100267538,0.0403945520374362,2.59393662787464e-11,0.00313580030143595,2.01444979389129e-22,0.115142653249722,0.000969943261365227,"darkgreen"
"ENSG00000164007.11","darkgreen",0.00872707892878567,0.0853425476560565,-0.0749210837743508,-0.115991357529754,-0.0424914518417797,-0.0484689178740112,-0.0832256083563479,-0.0475356172125572,0.0305111028230534,-0.084229915534306,0.0645291363392984,-0.0250888818775546,0.812196733163384,0.137968667023716,0.044675324491708,0.031138648385437,0.111828482549869,0.0752073989321591,0.12656866507276,0.0978323016972339,0.0710326310938614,-7.24072827684025e-05,0.0198956104113584,0.194598831261063,0.0470772660238078,0.0975804586464891,0.20697717090564,-0.000605237715506654,0.0552518951915931,0.0256717723182719,0.126339731790912,0.0160608099249411,0.12341826567827,0.803187810660703,0.0146231618419072,0.0321508185490499,0.000888682885915188,0.224757217031852,0.166071078371653,0.0172749905468752,0.174387306185856,0.383477196010187,0.0159685388512946,0.0650842434132283,0.4736363292707,3.58665309388461e-193,7.52914645459318e-05,0.201803931548141,0.373766158062675,0.00135751435689187,0.0314966083320779,0.000284498538457031,0.00510212973721207,0.0422507081999325,0.998350189641335,0.569889354966437,2.01305884842793e-08,0.178583382854566,0.00521780939192418,2.29440267895742e-09,0.986210247043022,0.114328568664216,0.463418952075491,0.00029187847504892,0.646465742337213,0.00040319246896872,-0.00938418591735842,0.788707205764233,"darkgreen"
